,course_title,course_organization,course_Certificate_type,course_rating,course_difficulty,course_students_enrolled
134,(ISC)² Systems Security Certified Practitioner (SSCP),(ISC)²,SPECIALIZATION,4.7,Beginner,5.3k
743,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,University of Pennsylvania,COURSE,4.7,Intermediate,17k
874,A Crash Course in Data Science,Johns Hopkins University,COURSE,4.5,Mixed,130k
413,A Law Student's Toolkit,Yale University,COURSE,4.7,Mixed,91k
635,A Life of Happiness and Fulfillment,Indian School of Business,COURSE,4.8,Mixed,320k
661,ADHD: Everyday Strategies for Elementary Students,University at Buffalo,COURSE,4.7,Beginner,39k
54,AI For Everyone,deeplearning.ai,COURSE,4.8,Beginner,350k
488,AI For Medical Treatment,deeplearning.ai,COURSE,4.8,Intermediate,2.4k
58,AI Foundations for Everyone,IBM,SPECIALIZATION,4.7,Beginner,61k
129,AI for Medical Diagnosis,deeplearning.ai,COURSE,4.7,Intermediate,12k
283,AI for Medical Prognosis,deeplearning.ai,COURSE,4.6,Intermediate,4k
35,AI for Medicine,deeplearning.ai,SPECIALIZATION,4.7,Intermediate,13k
43,AWS Fundamentals,Amazon Web Services,SPECIALIZATION,4.6,Beginner,130k
631,AWS Fundamentals: Addressing Security Risk,Amazon Web Services,COURSE,4.3,Beginner,11k
861,AWS Fundamentals: Building Serverless Applications,Amazon Web Services,COURSE,4.7,Beginner,27k
281,AWS Fundamentals: Going Cloud-Native,Amazon Web Services,COURSE,4.7,Beginner,110k
828,AWS Fundamentals: Migrating to the Cloud,Amazon Web Services,COURSE,4.5,Intermediate,13k
819,Aboriginal Worldviews and Education,University of Toronto,COURSE,4.7,Mixed,6.6k
63,Academic English: Writing,"University of California, Irvine",SPECIALIZATION,4.7,Beginner,540k
142,Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,SPECIALIZATION,4.7,Intermediate,22k
612,Access Controls,(ISC)²,COURSE,4.6,Beginner,2.9k
604,Accounting Analytics,University of Pennsylvania,COURSE,4.5,Mixed,80k
727,Accounting for Decision Making,University of Michigan,COURSE,4.8,Intermediate,9.9k
51,Achieving Personal and Professional Success,University of Pennsylvania,SPECIALIZATION,4.7,Beginner,110k
838,Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,COURSE,4.8,Mixed,23k
330,Addiction Treatment: Clinical Skills for Healthcare Providers,Yale University,COURSE,4.8,Beginner,9.2k
247,Advanced Business Analytics,University of Colorado Boulder,SPECIALIZATION,4.5,Intermediate,78k
157,Advanced Data Science with IBM,IBM,SPECIALIZATION,4.4,Advanced,320k
103,Advanced Machine Learning,National Research University Higher School of Economics,SPECIALIZATION,4.5,Advanced,190k
324,Advanced Machine Learning with TensorFlow on Google Cloud Platform,Google Cloud,SPECIALIZATION,4.5,Advanced,35k
266,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,COURSE,4.7,Advanced,29k
825,Advertising and Society,Duke University,COURSE,4.8,Mixed,14k
853,Age of Cathedrals,Yale University,COURSE,4.7,Beginner,21k
75,Agile Development,University of Virginia,SPECIALIZATION,4.7,Beginner,94k
482,Agile Meets Design Thinking,University of Virginia,COURSE,4.7,Beginner,69k
212,Agile with Atlassian Jira,Atlassian,COURSE,4.7,Beginner,40k
846,Agile и Scrum в работе над проектами и продуктами,ScrumTrek,COURSE,4.9,Beginner,12k
561,Algorithmic Toolbox,University of California San Diego,COURSE,4.7,Intermediate,220k
78,Algorithms,Stanford University,SPECIALIZATION,4.8,Intermediate,150k
242,Algorithms for Battery Management Systems,University of Colorado System,SPECIALIZATION,4.8,Intermediate,14k
322,American Contract Law I,Yale University,COURSE,4.9,Beginner,18k
159,An Introduction to American Law,University of Pennsylvania,COURSE,4.8,Beginner,23k
265,An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,COURSE,4.7,Beginner,69k
151,An Introduction to Programming the Internet of Things (IOT),"University of California, Irvine",SPECIALIZATION,4.6,Beginner,270k
752,Analysing: Numeric and digital literacies,Macquarie University,SPECIALIZATION,4.6,Beginner,7.9k
119,Anatomy,University of Michigan,SPECIALIZATION,4.8,Beginner,30k
302,"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,COURSE,4.8,Intermediate,36k
